BoCoServerSocketWith 15 clients,;
Number iterations, time;
50,11.8;
100,8.0;
150,27.866666666666667;
200,17.266666666666666;
250,18.533333333333335;
300,36.266666666666666;
350,50.06666666666667;
400,68.13333333333334;
450,52.13333333333333;
