BoCoServerSocketWith 30 clients,;
Number iterations, time;
50,249.53333333333333;
100,153.6;
150,296.56666666666666;
200,304.6333333333333;
250,331.23333333333335;
300,318.56666666666666;
350,326.93333333333334;
400,360.23333333333335;
450,350.8333333333333;
