ExBoServerSocketWith 15 clients,;
Number iterations, time;
50,7.0;
100,8.333333333333334;
150,24.933333333333334;
200,34.06666666666667;
250,40.4;
300,44.0;
350,52.733333333333334;
400,53.733333333333334;
450,72.8;
