ExBoServerSocketWith 30 clients,;
Number iterations, time;
50,12.166666666666666;
100,31.933333333333334;
150,49.766666666666666;
200,71.63333333333334;
250,84.43333333333334;
300,92.23333333333333;
350,93.5;
400,133.7;
450,145.16666666666666;
