BoCoServerSocketWith 350 iterations,,;
Requested clients, real clients, time;
10,10,40.7;
15,15,50.06666666666667;
20,20,62.2;
25,25,173.24;
30,30,326.93333333333334;
35,0,no clients served;
40,0,no clients served;
